"Definition Name","LenX","LenY","LenZ","Quantity"
"30_x6_ Air Return Grill","14""","5.1298""","0.4597""","3"
"Difference","0.75""","30""","35.75""","1"
"DrainStraight","2.25""","2.25""","3""","1"
"DrainTrough","50""","3""","1.0625""","1"
"Drawer Slide#1","5.4649""","30""","1.5094""","4"
"FinialHinge","0.6293"", 0.9063"" (18)","3.1123""","0.1875"" (18), 0.2152""","19"
"GaggenauInductioncooktopVI424610","15.1968""","20.7087""","2.1701""","1"
"Group","0.1487"" (16), 0.2873"" (2), 1.5748"" (2), 11"", 11.0996"" (2), 2.5349"" (10), 2.9528"" (2), 3.1496"" (2), 5.0724"" (4), 5.942"", 8.4963"", 92.529"" (2), 96.063""","0.0669"" (16), 0.1487"" (2), 1.0961"" (2), 1.4927"", 1.5439"", 1.5636"" (2), 1.5748"" (2), 2.036"" (2), 2.0943"" (10), 3.7228"", 4.8461"" (4), 48"", 480.315"", 49""","0.4849"" (18), 0.8115"" (6), 1.6221"" (4), 1.875"", 1.8805"", 105.9165"" (2), 109.3024"" (2), 113.7795"", 2.6248"" (4), 2.6851"", 3.3465"" (2), 7.3074"", 97.9921"", 98.189"" (2)","46"
"Insulation#1","85.5""","21.7422"" (6), 22.5"" (6)","1.5""","12"
"InsulationCrawlSpaceEnd","21.75""","3.5""","13""","4"
"InsulationCrawlSpaceSide","3.5""","21.75"" (12), 22.5"" (12)","13""","24"
"InsulationFloorCeiling#2","89.5""","21.75"" (2), 22.5"" (2)","3.5""","4"
"InsulationFloorCeiling#4","82.4375""","21.75""","3.5""","2"
"InsulationFloorCeiling#5","89.5""","21.75""","3.5""","4"
"InsulationFloorCeiling#6","82.4375""","21.75"", 9.75""","3.5""","2"
"InsulationFrontAboveDoor","14.8938""","3.5""","23""","2"
"InsulationFrontCrawlInner","17.4563""","3.5""","13""","2"
"InsulationFrontCrawlOuter","21.75""","3.5""","13""","2"
"InsulationRearDoor","14.6624""","3.5""","3.4487""","2"
"InsulationWall","3.5""","21""","76.75""","1"
"InsulationWall#2","3.5""","17.162"", 21.75"" (4), 26.325""","76.75"" (5), 9.1""","6"
"Lumber2x2#1","1.5""","1.5""","85.5""","15"
"Lumber2x4","3.5""","1.5""","13"" (30), 96"" (12)","42"
"Lumber2x4#1","3.5""","1.5""","48"" (2), 52.65"" (2)","4"
"Lumber2x4#10","3.5""","1.5""","48""","2"
"Lumber2x4#11","3.5""","1.5""","6""","4"
"Lumber2x4#12","3.5""","1.5""","3.4487""","1"
"Lumber2x4#13","3.5""","1.5""","48"" (2), 82.4375"" (3)","5"
"Lumber2x4#14","3.5""","1.5""","89.5"" (5), 96"" (2)","7"
"Lumber2x4#15","3.5""","1.5""","48"" (4), 89.5"" (6)","10"
"Lumber2x4#16","3.5""","1.5""","36"" (2), 82.4375"" (3)","5"
"Lumber2x4#17","3.5""","1.5""","76.75"" (8), 78.25""","9"
"Lumber2x4#18","3.5""","1.5""","76.75""","2"
"Lumber2x4#19","3.5""","1.5""","24""","2"
"Lumber2x4#2","3.5""","1.5""","13""","6"
"Lumber2x4#20","1.5""","1.5""","24"" (8), 8.3639""","9"
"Lumber2x4#21","1.5""","1.5"" (7), 3.5""","76.75""","8"
